time	err_x	err_y	err_z
0	0	-2	0
0.1	-0.00710197	-1.99966	0.0030837
0.2	0.154705	-1.93296	-0.128739
0.301	0.141773	-1.77942	-0.299058
0.400998	0.120236	-1.57022	-0.41304
0.500997	0.0952173	-1.29967	-0.511162
0.600996	0.0724738	-0.964185	-0.608927
0.700995	0.0510245	-0.564221	-0.703772
0.800993	0.0304274	-0.100386	-0.794629
0.900992	0.0131021	0.427352	-0.884522
1.00099	-0.00192811	1.019	-0.970728
1.101	-0.0156048	1.67555	-1.05238
1.2	-0.0258472	2.38807	-1.1312
1.3	-0.0335742	3.16981	-1.2073
1.40001	-0.0406253	4.01193	-1.28142
1.50001	-0.046619	4.91355	-1.35603
1.60002	-0.0503436	5.87392	-1.43303
1.70002	-0.0521816	6.89419	-1.51106
1.80003	-0.0500325	7.97707	-1.59041
1.90003	-0.0444537	9.11939	-1.6717
2.00004	-0.0320005	10.3237	-1.75488
2.10003	-0.0313014	11.6494	-1.77554
2.20002	-0.0332756	13.0461	-1.79207
2.30002	-0.0354748	14.5083	-1.80784
2.40001	-0.0375848	16.0358	-1.82336
2.5	-0.0392658	17.6287	-1.83904
2.60099	-0.0412315	19.3039	-1.85412
2.70099	-0.0427892	21.0282	-1.86916
2.80098	-0.0444273	22.8179	-1.88383
2.90097	-0.0460049	24.6745	-1.89684
3.00096	-0.0482467	26.5924	-1.9005
3.10096	-0.0497559	28.4371	-1.90589
3.20095	-0.051252	30.1818	-1.91128
3.30094	-0.0526077	31.8265	-1.91672
3.40094	-0.0529139	33.372	-1.92248
3.50093	-0.05128	34.8186	-1.92883
3.60092	-0.0474564	36.1666	-1.93584
3.70091	-0.0421779	37.4155	-1.9433
3.80091	-0.0366011	38.5646	-1.95084
3.9009	-0.0310244	39.6137	-1.95839
4.00089	-0.0254476	40.5628	-1.96594
4.10089	-0.0198709	41.4119	-1.97348
4.20088	-0.0142941	42.161	-1.98103
4.30087	-0.00871745	42.8101	-1.98857
4.40086	-0.00314075	43.3592	-1.99612
4.50086	0.00243594	43.8083	-2.00367
4.60085	0.00801264	44.1574	-2.01123
4.70084	0.0135893	44.4064	-2.01879
4.80083	0.019166	44.5555	-2.02635
4.90083	0.0247428	44.6046	-2.0339
5.00082	0.0303196	44.5537	-2.04146
5.10081	0.0358963	44.4028	-2.04902
5.20081	0.0414731	44.1519	-2.05658
5.3008	0.0470498	43.801	-2.06414
5.40079	0.0526266	43.35	-2.07169
5.50078	0.0582034	42.7991	-2.07925
5.60078	0.0637801	42.1482	-2.08681
5.70077	0.0693569	41.3973	-2.09437
5.80076	0.0749336	40.5464	-2.10192
5.90075	0.0805104	39.5954	-2.10948
6.00075	0.0860871	38.5445	-2.11704
6.10074	0.0916639	37.3936	-2.1246
6.20073	0.0972407	36.1426	-2.13216
6.30073	0.102817	34.7917	-2.13971
6.40072	0.108394	33.3408	-2.14727
6.50071	0.113971	31.7898	-2.15483
6.6007	0.119548	30.1389	-2.16239
6.7007	0.125124	28.3879	-2.16995
6.80069	0.1307	26.537	-2.1775
6.90068	0.136276	24.586	-2.18506
7.00068	0.141852	22.5351	-2.19262
7.10067	0.147428	20.3841	-2.20018
7.20066	0.153005	18.1332	-2.20773
7.30065	0.158581	15.7822	-2.21529
7.40065	0.164157	13.3313	-2.22285
7.50064	0.169733	10.7803	-2.23041
7.60063	0.175309	8.12933	-2.23797
7.70062	0.180885	5.37836	-2.24552
7.80062	0.186461	2.52739	-2.25308
7.90061	0.192037	-0.42358	-2.26064
8.0006	0.197217	-3.07175	-2.26985
8.10064	0.23533	-4.73396	-2.31018
8.20068	0.317973	-4.90924	-2.39021
8.30072	0.414708	-4.91084	-2.46626
8.40076	0.507584	-4.9575	-2.55898
8.5008	0.580692	-5.0009	-2.63009
8.60085	0.60686	-5.00094	-2.65562
8.70089	0.607574	-5.00094	-2.65649
8.80093	0.607612	-5.00093	-2.65653
8.90097	0.607656	-5.00091	-2.65657
9.00001	0.607698	-5.00089	-2.65661
9.10005	0.607744	-5.00088	-2.65665
9.20009	0.607772	-5.00086	-2.65667
9.30013	0.607814	-5.00085	-2.65671
9.40017	0.607852	-5.00083	-2.65674
9.50021	0.60788	-5.00082	-2.65676
9.60025	0.607912	-5.0008	-2.65679
9.70029	0.607972	-5.00079	-2.65684
9.80033	0.607992	-5.00077	-2.65683
9.90037	0.608035	-5.00076	-2.65685
