time	err_x	err_y	err_z
0	0	0	0
0.01	-1.14684e-05	-2.14577e-06	-1.16355e-05
0.02	-1.52743e-05	-2.6226e-06	-1.83986e-05
0.03	-1.7406e-05	-2.86102e-06	-1.6263e-05
0.041	-1.6332e-05	-2.86102e-06	-1.61223e-05
0.051	-1.22156e-05	-3.33786e-06	-9.90955e-06
0.061	-3.19081e-06	-3.57628e-06	-2.49223e-06
0.071	-2.66281e-06	-5.72205e-06	-2.11309e-06
0.081	-2.60289e-06	-6.4373e-06	-1.64263e-06
0.09	-1.54424e-06	-6.4373e-06	-9.17273e-07
0.1	-1.94791e-06	-6.91414e-06	-1.55163e-06
0.11	-6.12438e-06	-6.91414e-06	-6.14613e-06
0.12	-8.32104e-06	-7.39098e-06	-6.65969e-06
0.13	-6.11968e-06	-7.39098e-06	-5.79774e-06
0.14	-2.44026e-06	-9.05991e-06	-2.52931e-06
0.15	-0.0061699	0.00351143	-0.00836571
0.16	-0.0190349	0.00711441	-0.0168248
0.17	-0.0325805	0.0107219	-0.0245872
0.18	-0.0564867	0.0141888	-0.0337596
0.19	-0.0455677	0.01825	-0.0524795
0.2	-0.0400955	0.0222723	-0.0722793
0.21	-0.0354851	0.028466	-0.0895856
0.22	-0.0306974	0.0372164	-0.104566
0.23	-0.0289905	0.0487664	-0.116079
0.24	-0.0287487	0.061615	-0.12645
0.25	-0.0296858	0.0751047	-0.136626
0.26	-0.0309046	0.0889399	-0.147188
0.27	-0.0319873	0.103121	-0.158223
0.281	-0.0330484	0.119269	-0.170703
0.291	-0.0341023	0.13456	-0.18217
0.301	-0.0353911	0.15046	-0.193679
0.311	-0.0369633	0.166948	-0.205247
0.320999	-0.0388052	0.183989	-0.216915
0.330999	-0.0408822	0.20156	-0.228719
0.340999	-0.043189	0.21966	-0.240657
0.350999	-0.0457239	0.238285	-0.252727
0.360999	-0.0485111	0.257437	-0.264926
0.370999	-0.0515654	0.27711	-0.277255
0.380999	-0.0549008	0.2973	-0.289716
0.390999	-0.0554492	0.318677	-0.301517
0.400998	-0.0567682	0.340606	-0.313175
0.410998	-0.0599112	0.362747	-0.325161
0.420998	-0.0604876	0.386177	-0.335625
0.430998	-0.0615668	0.41034	-0.345968
0.440998	-0.0623544	0.435205	-0.355738
0.450998	-0.0636526	0.460851	-0.365234
0.460998	-0.0645946	0.487147	-0.374382
0.470997	-0.0641382	0.514428	-0.382912
0.480997	-0.0642831	0.542389	-0.39141
0.490997	-0.0654932	0.570868	-0.399968
0.500997	-0.0650446	0.600331	-0.408148
0.510997	-0.0661852	0.630199	-0.416429
0.520997	-0.0664361	0.660864	-0.424387
0.530997	-0.0671063	0.691991	-0.432726
0.540997	-0.0669871	0.72407	-0.440771
0.550996	-0.0675328	0.756548	-0.448908
0.560996	-0.068003	0.789519	-0.45706
0.570996	-0.0684752	0.823238	-0.464961
0.580996	-0.0690543	0.857333	-0.473246
0.590996	-0.06899	0.89236	-0.481155
0.600996	-0.0694308	0.927957	-0.489195
0.610996	-0.070166	0.964037	-0.497254
0.620996	-0.069703	1.00103	-0.505004
0.630995	-0.0702369	1.03843	-0.512723
0.640995	-0.0710849	1.07631	-0.520687
0.650995	-0.0705819	1.11506	-0.528508
0.660995	-0.0707916	1.15443	-0.536383
0.670995	-0.0709821	1.1945	-0.544233
0.680995	-0.0709409	1.23522	-0.551922
0.690995	-0.0716048	1.27673	-0.559549
0.700995	-0.0716405	1.31873	-0.567151
0.710994	-0.0717872	1.36146	-0.574664
0.720994	-0.0719509	1.40469	-0.582141
0.730994	-0.0720894	1.44853	-0.589608
0.740994	-0.0722173	1.493	-0.597114
0.750994	-0.0723664	1.53806	-0.604676
0.760994	-0.0725505	1.58371	-0.612315
0.770994	-0.0735316	1.63002	-0.619882
0.780994	-0.07237	1.67749	-0.62728
0.790993	-0.0732525	1.72521	-0.63473
0.800993	-0.0724597	1.77399	-0.64195
0.810993	-0.0735377	1.82298	-0.649261
0.820993	-0.0731642	1.87305	-0.656477
0.830993	-0.0726564	1.92375	-0.663457
0.840993	-0.072871	1.97484	-0.670508
0.850993	-0.0725069	2.0269	-0.677228
0.860992	-0.0726814	2.07927	-0.684227
0.870992	-0.0722786	2.1325	-0.690996
0.880992	-0.0724877	2.18607	-0.698088
0.890992	-0.0720417	2.24047	-0.70489
0.900992	-0.0710685	2.29613	-0.710704
0.910992	-0.0709214	2.3534	-0.714768
0.920992	-0.0706372	2.41166	-0.718166
0.930992	-0.0711839	2.47028	-0.72146
