time	err_x	err_y	err_z
0	0	0	0
0.1	0.000244997	-1.66893e-06	0.000242176
0.2	-0.0447698	0.039659	-0.0270001
0.301	-0.031369	0.187964	-0.0740629
0.400998	-0.0357833	0.402589	-0.133844
0.500997	-0.0331536	0.707231	-0.179261
0.600996	-0.0453941	1.10133	-0.225173
0.700995	-0.0304019	1.58081	-0.27585
0.800993	-0.0315424	2.14871	-0.331646
0.900992	-0.0227809	2.79035	-0.378505
1.00099	-0.0209762	3.50395	-0.417059
1.101	-0.0177513	4.28559	-0.449464
1.2	-0.0207335	5.1361	-0.474675
1.3	-0.02445	6.05421	-0.496554
1.40001	-0.0184786	7.05085	-0.513789
1.50001	-0.024766	8.09916	-0.528931
1.60002	-0.0231967	9.21799	-0.541039
1.70002	-0.0206094	10.4155	-0.550145
1.80003	-0.0239558	11.6755	-0.55776
1.90003	-0.0229997	12.9966	-0.563988
2.00004	-0.0271619	14.3883	-0.568882
2.10003	-0.0246181	15.8506	-0.57253
2.20002	-0.023063	17.3629	-0.575918
2.30002	-0.0283762	18.9527	-0.578161
2.40001	-0.0311306	20.5999	-0.579988
2.5	-0.0341769	22.3112	-0.58143
2.60099	-0.0253786	24.1168	-0.582407
2.70099	-0.0260062	25.9517	-0.583331
2.80098	-0.0301488	27.8611	-0.583789
2.90097	-0.0312045	29.8245	-0.584241
3.00096	-0.0310343	31.8465	-0.584458
3.10096	-0.0377889	33.9227	-0.584683
3.20095	-0.032222	36.0674	-0.584789
3.30094	-0.0404166	38.26	-0.58471
3.40094	-0.0399847	40.5036	-0.585231
3.50093	-0.0334993	42.8019	-0.585108
3.60092	-0.0360872	45.1507	-0.58484
3.70091	-0.0286989	47.5524	-0.58495
3.80091	-0.0195848	50.0037	-0.586215
3.9009	-0.0554384	52.523	-0.585025
4.00089	-0.0365369	55.0913	-0.584095
4.10089	-0.0594313	57.7445	-0.584285
4.20088	-0.0248774	60.4506	-0.583192
4.30087	-0.0151538	63.2046	-0.582586
4.40086	-0.0367904	65.9985	-0.582411
4.50086	-0.0498421	68.8385	-0.582985
4.60085	-0.0381619	71.7595	-0.583442
4.70084	-0.0322172	74.718	-0.584031
4.80083	-0.0541829	77.7365	-0.583165
4.90083	-0.0469056	80.7961	-0.584604
5.00082	-0.0381736	83.8884	-0.584704
5.10081	-0.0148872	87.0343	-0.584683
5.20081	-0.0670846	90.2272	-0.585308
5.3008	-0.02263	93.4624	-0.585392
5.40079	-0.00762723	96.687	-0.576788
5.50078	-0.029718	100.12	-0.583358
5.60078	-0.0301508	103.584	-0.581123
5.70077	-0.0199307	107.222	-0.575992
5.80076	-0.0305603	110.94	-0.58235
5.90075	-0.0332089	114.834	-0.582086
6.00075	-0.021793	118.896	-0.58089
6.10074	-0.0223665	123.041	-0.580559
6.20073	-0.0298087	127.374	-0.579755
6.30073	-0.0258627	131.812	-0.578077
6.40072	-0.0287677	136.426	-0.579031
6.50071	-0.0241547	141.188	-0.580292
6.6007	-0.0334813	146.106	-0.580945
6.7007	-0.0120257	151.142	-0.592475
6.80069	-0.0277684	156.329	-0.581432
6.90068	-0.0373939	161.706	-0.586482
7.00068	-0.0233397	167.368	-0.585581
7.10067	-0.0321637	173.101	-0.579533
7.20066	-0.017938	178.906	-0.577601
7.30065	-0.0299198	184.866	-0.581258
7.40065	-0.0254542	190.849	-0.578538
7.50064	-0.0307033	197.004	-0.576759
7.60063	-0.0161661	203.199	-0.577983
7.70062	-0.06664	209.535	-0.578626
7.80062	-0.0278016	215.942	-0.574248
7.90061	-0.0194608	222.448	-0.578182
8.0006	-0.0638378	229.096	-0.583875
8.10064	-0.0266914	235.77	-0.571946
8.20068	-0.0522358	242.538	-0.577588
8.30072	-0.0233832	249.449	-0.575079
8.40076	-0.0621544	256.393	-0.574793
8.5008	-0.0293143	263.476	-0.574317
8.60085	-0.0389462	270.633	-0.577673
8.70089	-0.0208918	277.877	-0.57662
8.80093	-0.0230218	285.264	-0.575487
8.90097	-0.0288396	292.734	-0.570502
9.00001	-0.0342013	300.303	-0.566673
9.10005	-0.0746263	308.09	-0.572487
9.20009	-0.0473226	315.957	-0.57779
9.30013	-0.0663262	324.023	-0.575122
9.40017	-0.0454995	332.273	-0.570912
9.50021	-0.118679	340.616	-0.583154
9.60025	-0.0584737	349.064	-0.582906
9.70029	-0.0448399	357.868	-0.577888
9.80033	-0.0492327	366.743	-0.583855
9.90037	-0.0441769	375.648	-0.58158
