time	err_x	err_y	err_z
0	0	0	0
0.1	0.000248498	-9.53674e-07	0.000260965
0.2	0.0942477	0.0164845	0.0189948
0.301	0.166727	0.176457	-0.2525
0.400998	0.172123	0.274441	-0.43995
0.500997	0.176535	0.475216	-0.532158
0.600996	0.172683	0.725183	-0.634043
0.700995	0.166677	1.03657	-0.729348
0.800993	0.159132	1.41213	-0.819791
0.900992	0.15348	1.85161	-0.907912
1.00099	0.151648	2.35588	-0.996737
1.101	0.151523	2.92417	-1.08837
1.2	0.152574	3.54923	-1.18178
1.3	0.15654	4.24433	-1.27865
1.40001	0.161345	5.00483	-1.37559
1.50001	0.16711	5.85715	-1.44392
1.60002	0.172926	6.78985	-1.44855
1.70002	0.179614	7.63136	-1.45312
1.80003	0.186301	8.37288	-1.45768
1.90003	0.192989	9.01439	-1.46225
2.00004	0.199677	9.55589	-1.46681
2.10003	0.206364	9.9974	-1.47138
2.20002	0.213052	10.3389	-1.47594
2.30002	0.21974	10.5804	-1.48051
2.40001	0.226427	10.7219	-1.48508
2.5	0.233115	10.7634	-1.48964
2.60099	0.239869	10.7038	-1.49425
2.70099	0.246557	10.5443	-1.49882
2.80098	0.253245	10.2848	-1.50338
2.90097	0.259932	9.92535	-1.50795
3.00096	0.26662	9.46586	-1.51252
3.10096	0.273308	8.90636	-1.51708
3.20095	0.279995	8.24686	-1.52165
3.30094	0.286683	7.48735	-1.52621
3.40094	0.293371	6.62785	-1.53078
3.50093	0.300058	5.66834	-1.53534
3.60092	0.306746	4.60883	-1.53991
3.70091	0.313433	3.44932	-1.54448
3.80091	0.320121	2.18981	-1.54904
3.9009	0.326809	0.83029	-1.55361
4.00089	0.334834	-0.539683	-1.56011
4.10089	0.368483	-1.48895	-1.5995
4.20088	0.470619	-1.98711	-1.69673
4.30087	0.52432	-2.00021	-1.77485
4.40086	0.550995	-2.00035	-1.80604
4.50086	0.551874	-2.00066	-1.80681
4.60085	0.552235	-2.00077	-1.80676
4.70084	0.552601	-2.00088	-1.8067
4.80083	0.552965	-2.001	-1.80665
4.90083	0.553332	-2.00111	-1.80659
5.00082	0.553694	-2.00122	-1.80654
5.10081	0.554058	-2.00134	-1.80649
5.20081	0.554455	-2.0015	-1.80642
5.3008	0.554855	-2.00166	-1.80636
5.40079	0.55526	-2.00182	-1.80629
5.50078	0.555663	-2.00197	-1.80622
5.60078	0.556062	-2.00213	-1.80615
5.70077	0.556456	-2.00229	-1.80609
5.80076	0.556861	-2.00245	-1.80602
5.90075	0.557258	-2.00261	-1.80596
6.00075	0.557656	-2.00277	-1.80589
6.10074	0.558055	-2.00293	-1.80583
6.20073	0.558456	-2.00309	-1.80576
6.30073	0.55886	-2.00325	-1.8057
6.40072	0.559261	-2.00341	-1.80563
6.50071	0.559662	-2.00357	-1.80556
6.6007	0.560063	-2.00373	-1.80549
6.7007	0.560468	-2.00389	-1.80542
6.80069	0.560868	-2.00405	-1.80536
6.90068	0.56127	-2.00421	-1.80529
7.00068	0.561669	-2.00437	-1.80522
7.10067	0.562064	-2.00453	-1.80516
7.20066	0.562454	-2.00469	-1.8051
7.30065	0.562845	-2.00485	-1.80503
7.40065	0.563244	-2.00501	-1.80496
7.50064	0.563644	-2.00518	-1.8049
7.60063	0.564036	-2.00533	-1.80483
7.70062	0.564439	-2.0055	-1.80476
7.80062	0.564837	-2.00565	-1.8047
7.90061	0.565238	-2.00581	-1.80463
8.0006	0.565639	-2.00597	-1.80456
8.10064	0.566038	-2.00614	-1.80449
8.20068	0.566432	-2.0063	-1.80443
8.30072	0.566823	-2.00645	-1.80436
8.40076	0.567222	-2.00662	-1.8043
8.5008	0.567621	-2.00678	-1.80424
8.60085	0.568021	-2.00694	-1.80417
8.70089	0.568418	-2.0071	-1.8041
8.80093	0.568813	-2.00726	-1.80404
8.90097	0.569213	-2.00742	-1.80397
9.00001	0.569608	-2.00758	-1.80391
9.10005	0.570008	-2.00774	-1.80384
9.20009	0.570403	-2.0079	-1.80378
9.30013	0.570794	-2.00806	-1.80371
9.40017	0.571186	-2.00822	-1.80365
9.50021	0.571584	-2.00839	-1.80358
9.60025	0.571974	-2.00854	-1.80352
9.70029	0.572365	-2.0087	-1.80346
9.80033	0.572764	-2.00887	-1.80339
9.90037	0.573156	-2.00903	-1.80333
