time	err_x	err_y	err_z
0	0	0	0
0.1	0.000378381	-0.000107288	-0.000343135
0.2	-0.011873	0.016346	0.00248661
0.301	-0.0695986	0.129663	0.092322
0.400998	-0.0894045	0.270614	0.124837
0.500997	-0.088651	0.483968	0.15607
0.600996	-0.0622078	0.720103	0.173771
0.700995	-0.125159	1.00662	0.175705
0.800993	-0.0747598	1.33443	0.18987
0.900992	-0.115854	1.70012	0.217115
1.00099	-0.0592939	2.15138	0.231844
1.101	-0.014738	2.6435	0.235895
1.2	-0.109271	3.14492	0.214658
1.3	-0.0253762	3.73518	0.193013
1.40001	-0.0785203	4.39067	0.186247
1.50001	-0.0383223	5.06943	0.14799
1.60002	-0.162315	5.78699	0.134973
1.70002	-0.112159	6.53139	0.0880299
1.80003	-0.101016	7.37174	0.0671465
1.90003	-0.049557	8.2414	0.085049
2.00004	-0.0618782	9.18839	0.104118
2.10003	-0.0472468	10.1866	0.118248
2.20002	-0.0893786	11.261	0.115193
2.30002	-0.104126	12.384	0.126312
2.40001	-0.0846975	13.5686	0.141961
2.5	-0.128825	14.7478	0.0823414
2.60099	-0.18697	16.0064	0.0410744
2.70099	-0.200263	17.3414	0.0638408
2.80098	-0.16065	18.7017	0.0886141
2.90097	-0.127266	20.0587	0.0512871
3.00096	-0.126857	21.5084	0.0720403
3.10096	-0.0206362	23.069	0.106061
3.20095	-0.0542092	24.6132	0.100675
3.30094	-0.116449	26.2287	0.0978121
3.40094	-0.153895	27.8699	0.0980511
3.50093	-0.0667763	29.5822	0.0763377
3.60092	-0.215507	31.3775	0.103398
3.70091	-0.0131633	33.1553	0.161694
3.80091	-0.153811	35.0314	0.163014
3.9009	0.00337382	36.9522	0.217035
4.00089	-0.163248	38.9475	0.186559
4.10089	-0.227777	40.9647	0.175417
4.20088	-0.119142	43.0767	0.20389
4.30087	-0.0830242	45.2385	0.242165
4.40086	-0.105052	47.4742	0.285128
4.50086	-0.219116	49.7432	0.27826
4.60085	-0.121055	52.0802	0.309277
4.70084	-0.124151	54.4587	0.304418
4.80083	-0.163395	56.8888	0.305101
4.90083	-0.204338	59.3521	0.315161
5.00082	-0.109462	61.9025	0.337188
5.10081	-0.201245	64.5171	0.364611
5.20081	-0.0730077	67.1052	0.347348
5.3008	-0.160632	69.8007	0.305814
5.40079	-0.167412	72.5868	0.331695
5.50078	-0.271522	75.4257	0.3324
5.60078	-0.179669	78.2973	0.369817
5.70077	-0.0488254	81.222	0.405929
5.80076	-0.124864	84.1971	0.386517
5.90075	-0.256081	87.2499	0.374353
6.00075	-0.312002	90.3427	0.357249
6.10074	-0.291821	93.5362	0.344478
6.20073	-0.150172	96.7556	0.340739
6.30073	-0.136182	100.052	0.365543
6.40072	-0.102691	103.371	0.386665
6.50071	-0.163563	106.749	0.378369
6.6007	-0.304646	110.209	0.37916
6.7007	-0.108454	113.738	0.394016
6.80069	-0.233659	117.295	0.399855
6.90068	-0.25927	120.917	0.404951
7.00068	-0.356053	124.622	0.408598
7.10067	-0.191816	128.34	0.422201
7.20066	-0.266083	132.139	0.460339
7.30065	-0.356553	135.986	0.453146
7.40065	-0.207642	139.91	0.454734
7.50064	-0.30243	143.935	0.479103
7.60063	-0.313057	147.989	0.462155
7.70062	-0.145614	152.134	0.475636
7.80062	-0.00381894	156.319	0.482136
7.90061	-0.207335	160.56	0.456979
8.0006	-0.448674	164.883	0.459169
8.10064	-0.362052	169.242	0.469499
8.20068	-0.153954	173.703	0.479177
8.30072	-0.0629127	178.19	0.481642
8.40076	-0.225844	182.707	0.482981
8.5008	-0.33485	187.29	0.483259
8.60085	-0.268126	191.936	0.481202
8.70089	-0.123489	196.633	0.457923
8.80093	-0.0905905	201.373	0.484206
8.90097	-0.429369	206.212	0.438284
9.00001	-0.310919	211.142	0.475159
9.10005	-0.568416	216.301	0.357726
9.20009	-0.774956	221.513	0.330026
9.30013	-0.503387	226.805	0.312152
9.40017	-0.497005	232.105	0.310358
9.50021	-0.498907	237.541	0.311964
9.60025	-0.36002	243.09	0.328062
9.70029	-0.277417	248.638	0.323201
9.80033	-0.478559	254.311	0.360359
9.90037	-0.669346	260.08	0.303408
