time	err_x	err_y	err_z
0	0	-2	0
0.1	0.000139273	-2	0.000158212
0.2	0.000297795	-2	0.000323871
0.301	0.000442388	-2	0.000473825
0.400998	-0.0326413	-1.92588	-0.0280994
0.500997	-0.0456673	-1.63342	-0.090013
0.600996	-0.0441214	-1.26399	-0.144836
0.700995	-0.0412225	-0.812878	-0.193567
0.800993	-0.045212	-0.269287	-0.233409
0.900992	-0.0469267	0.351835	-0.268094
1.00099	-0.0480327	1.05465	-0.301346
1.101	-0.0242163	1.83773	-0.334849
1.2	-0.0502521	2.69589	-0.365394
1.3	-0.0564147	3.64548	-0.389763
1.40001	-0.0397117	4.6835	-0.407126
1.50001	-0.0476934	5.79191	-0.430916
1.60002	-0.059508	6.98541	-0.451305
1.70002	-0.0561841	8.25546	-0.468152
1.80003	-0.0479695	9.60533	-0.486858
1.90003	-0.0514361	11.0297	-0.505848
2.00004	-0.046525	12.5383	-0.51967
2.10003	-0.0559244	14.1207	-0.53081
2.20002	-0.0608466	15.7729	-0.545106
2.30002	-0.046527	17.503	-0.554414
2.40001	-0.0539934	19.3024	-0.564533
2.5	-0.0497112	21.1735	-0.574763
2.60099	-0.0349247	23.1291	-0.584195
2.70099	-0.057103	25.1395	-0.59208
2.80098	-0.0488285	27.2237	-0.598837
2.90097	-0.0394962	29.3762	-0.604886
3.00096	-0.0554894	31.5991	-0.610501
3.10096	-0.0478549	33.8852	-0.614808
3.20095	-0.0736266	36.2392	-0.616585
3.30094	-0.0638026	38.6657	-0.618216
3.40094	-0.0669754	41.1603	-0.622218
3.50093	-0.0489492	43.7219	-0.623656
3.60092	-0.0406286	46.35	-0.624958
3.70091	-0.0440267	49.0398	-0.625175
3.80091	-0.029545	51.7963	-0.624609
3.9009	-0.0742427	54.6158	-0.623006
4.00089	-0.0525087	57.5005	-0.621389
4.10089	-0.063757	60.4481	-0.619207
4.20088	-0.051753	63.4603	-0.616014
4.30087	-0.0547911	66.5423	-0.613418
4.40086	-0.0609215	69.6922	-0.610731
4.50086	-0.0616282	72.9055	-0.60749
4.60085	-0.0495856	76.1808	-0.603662
4.70084	-0.049692	79.5296	-0.601039
4.80083	-0.0348936	82.9467	-0.597585
4.90083	-0.054341	86.4163	-0.593118
5.00082	-0.0430719	89.9489	-0.589913
5.10081	-0.0504232	93.5452	-0.587313
5.20081	-0.0610566	97.2062	-0.584377
5.3008	-0.0460404	100.928	-0.581458
5.40079	-0.0461595	104.718	-0.578779
5.50078	-0.0538813	108.578	-0.577314
5.60078	-0.0463281	112.498	-0.575514
5.70077	-0.0410496	116.476	-0.574155
5.80076	-0.0422783	120.521	-0.572786
5.90075	-0.0374998	124.627	-0.5719
6.00075	-0.0569979	128.796	-0.571525
6.10074	-0.0406553	133.032	-0.571397
6.20073	-0.0646561	137.321	-0.570762
6.30073	-0.055577	141.665	-0.57035
6.40072	-0.0490449	146.07	-0.570186
6.50071	-0.0469501	150.527	-0.571142
6.6007	-0.0485289	155.054	-0.571593
6.7007	-0.0511151	159.641	-0.572712
6.80069	-0.0391647	164.281	-0.573334
6.90068	-0.0721098	168.982	-0.573868
7.00068	-0.0512052	173.742	-0.573739
7.10067	-0.056143	178.557	-0.573651
7.20066	-0.0592726	183.445	-0.574921
7.30065	-0.0531947	188.383	-0.575909
7.40065	-0.0617836	193.378	-0.577016
7.50064	-0.0568567	198.429	-0.577296
7.60063	-0.0475487	203.536	-0.579235
7.70062	-0.0438152	208.698	-0.580399
7.80062	-0.0540454	213.926	-0.581715
7.90061	-0.0464583	219.208	-0.582603
8.0006	-0.0576657	224.545	-0.582632
8.10064	-0.0584879	229.947	-0.583287
8.20068	-0.0553069	235.406	-0.583819
8.30072	-0.0419176	240.93	-0.5847
8.40076	-0.0486291	246.529	-0.584608
8.5008	-0.0566032	252.181	-0.585837
8.60085	-0.0631869	257.891	-0.586082
8.70089	-0.0597302	263.664	-0.587573
8.80093	-0.0370288	269.461	-0.587968
8.90097	-0.0623615	275.314	-0.588499
9.00001	-0.0517663	281.157	-0.588873
9.10005	-0.0553232	287.105	-0.591638
9.20009	-0.0449101	293.114	-0.592466
9.30013	-0.0542822	299.193	-0.592344
9.40017	-0.0448455	305.32	-0.592921
9.50021	-0.0599779	311.501	-0.593618
9.60025	-0.04607	317.743	-0.593436
9.70029	-0.0272562	324.041	-0.592887
9.80033	-0.0438302	330.385	-0.594766
9.90037	-0.0581518	336.798	-0.597439
